410,NQ,AJX,Air Japan Company Ltd.,JP
4178,BA,BAW,British Airways P.L.C.,GB
1509,CO,COA,Continental Air Lines Inc.,US
1943,AY,FIN,Finnair Oyj,FI
2947,MP,MPH,Martinair Holland N.V.,NL
357,AC,ACA,Air Canada,CA
545,AF,AFR,Air France,FR
346,AB,BER,Air Berlin GmbH & Co. Luftverkehrs KG,DE
2554,9W,JAI,Jet Airways (India) Limited,IN
2695,KE,KAL,Korean Air Lines Co. Ltd.,KR
1228,C6,CJA,Canjet Airlines,CA
4067,PV,PNR,PAN AIR Lineas Aereas S.A.,ES
681,AA,AAL,American Airlines,US
405,AI,AIC,Air-India Limited,IN
4168,JK,JKK,Spanair S.A.,ES
707,EL,ANK,Air Nippon Co. Ltd.,JP
1718,P7,ESL,Russian Sky Airlines JSC,RU
2428,IC,IAC,Indian Airlines Corporation,IN
4583,5T,TWE,Transair Sweden AB,SE
1620,DL,DAL,Delta Air Lines Inc.,US
2538,JL,JAL,Japan Airlines International Co. Ltd.,JP
4774,VS,VIR,Virgin Atlantic Airways Limited,GB
3664,YS,RAE,Régional Compagnie Aérienne Européenne,FR
389,OF,FIF,Air Finland Ltd.,FI
4193,SA,SAA,South African Airways,ZA
4690,UA,UAL,United Airlines Inc.,US
1077,VD,BBB,Swedjet Airways AB,SE
3865,BU,CNO,SAS Braathens AS,NO
1852,EW,EWG,Eurowings AG,DE
3863,SK,SAS,Scandinavian Airlines System (SAS),SE
4161,WN,SWA,Southwest Airlines Co.,US
852,AO,AUZ,Australian Airlines Ltd.,AU
3581,QF,QFA,Qantas Airways Ltd.,AU
4934,ZT,TZT,Air Zambezi,ZW
448,UT,ORT,Air Orient,FR
163,SU,AFL,Aeroflot Russian Airlines,RU
2865,LH,DLH,Deutsche Lufthansa AG,DE
2398,IB,IBE,Iberia - Lineas Aereas de Espana,ES
2680,KL,KLM,KLM Royal Dutch Airlines (Koninklijke Luchtvaart Maatschappi,NL
3772,FR,RYR,Ryanair Ltd.,IE
3027,BD,BMA,British Midland Airways Ltd. d/b/a bmi,GB
3954,EI,EIN,Aer Lingus Limited,IE
